Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
/Users/madelaine/Downloads/csc428-master-2/js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799578: x:292, y:252
task2a.js:181 Timestamp: 1427323799586: x:293, y:252
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799594: x:293, y:253
task2a.js:181 Timestamp: 1427323799601: x:294, y:253
task2a.js:181 Timestamp: 1427323799613: x:294, y:253
task2a.js:181 Timestamp: 1427323799617: x:295, y:254
task2a.js:181 Timestamp: 1427323799628: x:295, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799632: x:296, y:254
task2a.js:181 Timestamp: 1427323799638: x:297, y:254
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799648: x:297, y:255
task2a.js:181 Timestamp: 1427323799655: x:298, y:255
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:181 Timestamp: 1427323799663: x:299, y:255
task2a.js:181 Timestamp: 1427323799670: x:299, y:255
task2a.js:181 Timestamp: 1427323799678: x:299, y:256
task2a.js:181 Timestamp: 1427323799687: x:300, y:256
task2a.js:181 Timestamp: 1427323799694: x:300, y:256
task2a.js:181 Timestamp: 1427323799702: x:300, y:256
task2a.js:181 Timestamp: 1427323799709: x:300, y:256
task2a.js:181 Timestamp: 1427323799717: x:300, y:256
task2a.js:181 Timestamp: 1427323799728: x:300, y:256
task2a.js:181 Timestamp: 1427323799734: x:299, y:255
task2a.js:181 Timestamp: 1427323799738: x:298, y:254
task2a.js:165 Stop tracking information: Task 2, Part 3 completed in 1 attempt[s].
/Users/madelaine/Downloads/csc428-master-2/js/task2a.js:153 MouseEvent {dataTransfer: null, which: 1, toElement: canvas#myCanvas.task2, fromElement: null, y: 439…}
task2a.js:155 Start tracking information: Task 2, Part 4, Attempt 1
task2a.js:181 Timestamp: 1427323800858: x:399, y:437
task2a.js:181 Timestamp: 1427323800868: x:399, y:437
task2a.js:181 Timestamp: 1427323800873: x:400, y:436
task2a.js:181 Timestamp: 1427323800883: x:401, y:435
task2a.js:181 Timestamp: 1427323800892: x:402, y:433
task2a.js:181 Timestamp: 1427323800899: x:403, y:432
task2a.js:181 Timestamp: 1427323800907: x:404, y:431
task2a.js:181 Timestamp: 1427323800918: x:406, y:429
task2a.js:181 Timestamp: 1427323800923: x:408, y:428
task2a.js:181 Timestamp: 1427323800931: x:410, y:426
task2a.js:181 Timestamp: 1427323800938: x:412, y:424
task2a.js:181 Timestamp: 1427323800947: x:414, y:422
task2a.js:181 Timestamp: 1427323800952: x:417, y:419
task2a.js:181 Timestamp: 1427323800962: x:419, y:416
