Navigated to file:///Users/madelaine/Downloads/csc428-master-2/views/device1.html
js/task1a.js:94 Start tracking information: Task 1, Part 1, Attempt 1
js/task2a.js:181 Timestamp: 1427322640547: x:404, y:414
js/task2a.js:181 Timestamp: 1427322640554: x:405, y:411
js/task2a.js:181 Timestamp: 1427322640562: x:407, y:408
js/task2a.js:181 Timestamp: 1427322640570: x:408, y:405
js/task2a.js:181 Timestamp: 1427322640577: x:409, y:403
js/task2a.js:181 Timestamp: 1427322640585: x:411, y:400
js/task2a.js:181 Timestamp: 1427322640593: x:412, y:397
js/task2a.js:181 Timestamp: 1427322640600: x:413, y:394
js/task2a.js:181 Timestamp: 1427322640609: x:415, y:392
js/task2a.js:181 Timestamp: 1427322640615: x:416, y:389
js/task2a.js:181 Timestamp: 1427322640625: x:417, y:386
js/task2a.js:181 Timestamp: 1427322640631: x:418, y:383
js/task2a.js:181 Timestamp: 1427322640637: x:420, y:381
js/task2a.js:181 Timestamp: 1427322640647: x:421, y:378
js/task2a.js:181 Timestamp: 1427322640657: x:422, y:375
js/task2a.js:181 Timestamp: 1427322640662: x:423, y:372
js/task2a.js:181 Timestamp: 1427322640669: x:425, y:369
js/task2a.js:181 Timestamp: 1427322640677: x:426, y:366
js/task2a.js:181 Timestamp: 1427322640685: x:428, y:363
js/task2a.js:181 Timestamp: 1427322640693: x:429, y:359
js/task2a.js:181 Timestamp: 1427322640699: x:431, y:356
js/task2a.js:181 Timestamp: 1427322640709: x:433, y:353
js/task2a.js:181 Timestamp: 1427322640715: x:435, y:349
js/task2a.js:181 Timestamp: 1427322640725: x:436, y:346
js/task2a.js:181 Timestamp: 1427322640732: x:438, y:343
js/task2a.js:181 Timestamp: 1427322640738: x:440, y:339
js/task2a.js:181 Timestamp: 1427322640746: x:442, y:335
js/task2a.js:181 Timestamp: 1427322640754: x:444, y:332
js/task2a.js:181 Timestamp: 1427322640762: x:445, y:328
js/task2a.js:181 Timestamp: 1427322640770: x:447, y:324
js/task2a.js:181 Timestamp: 1427322640777: x:449, y:320
js/task2a.js:181 Timestamp: 1427322640784: x:452, y:316
js/task2a.js:181 Timestamp: 1427322640794: x:454, y:312
js/task2a.js:181 Timestamp: 1427322640800: x:456, y:308
js/task2a.js:181 Timestamp: 1427322640809: x:458, y:304
js/task2a.js:181 Timestamp: 1427322640815: x:460, y:300
js/task2a.js:181 Timestamp: 1427322640825: x:462, y:296
js/task2a.js:181 Timestamp: 1427322640831: x:463, y:293
js/task2a.js:181 Timestamp: 1427322640838: x:465, y:289
js/task2a.js:181 Timestamp: 1427322640847: x:467, y:286
js/task2a.js:181 Timestamp: 1427322640852: x:469, y:283
js/task2a.js:181 Timestamp: 1427322640861: x:471, y:279
js/task2a.js:181 Timestamp: 1427322640869: x:473, y:276
